PS C:\Users\Konrad> & C:/Users/Konrad/AppData/Local/Programs/Python/Python311/python.exe c:/Users/Konrad/GoL-TwT/GoL_class.py
Spiralint: 93 Generations: 1284 Cycletime: 1
Spiralint: 117 Generations: 1284 Cycletime: 1
Spiralint: 167 Generations: 1146 Cycletime: 1
Spiralint: 203 Generations: 1146 Cycletime: 1
Spiralint: 285 Generations: 1202 Cycletime: 1
Spiralint: 369 Generations: 1202 Cycletime: 1
Spiralint: 462 Generations: 1145 Cycletime: 1
Spiralint: 486 Generations: 1145 Cycletime: 1
Spiralint: 775 Generations: 1146 Cycletime: 1
Spiralint: 909 Generations: 1145 Cycletime: 1
Spiralint: 987 Generations: 1143 Cycletime: 1
Spiralint: 1003 Generations: 1143 Cycletime: 1
Spiralint: 1021 Generations: 1000 Cycletime: 1
Spiralint: 1177 Generations: 1203 Cycletime: 1
Spiralint: 1212 Generations: 1202 Cycletime: 1
Spiralint: 1254 Generations: 1144 Cycletime: 1
Spiralint: 1291 Generations: 1146 Cycletime: 1
Spiralint: 1374 Generations: 1214 Cycletime: 1
Spiralint: 1406 Generations: 1359 Cycletime: 1
Spiralint: 1438 Generations: 1214 Cycletime: 1
Spiralint: 1625 Generations: 1203 Cycletime: 1
Spiralint: 1833 Generations: 1144 Cycletime: 1
Spiralint: 1929 Generations: 1145 Cycletime: 1
Spiralint: 1981 Generations: 1143 Cycletime: 1
Spiralint: 1991 Generations: 1143 Cycletime: 1
Spiralint: 2022 Generations: 1143 Cycletime: 1
Spiralint: 2025 Generations: 1143 Cycletime: 1
Spiralint: 2029 Generations: 1143 Cycletime: 1
Spiralint: 2030 Generations: 1143 Cycletime: 1
Spiralint: 2190 Generations: 1202 Cycletime: 1
Spiralint: 2259 Generations: 1146 Cycletime: 1
Spiralint: 2342 Generations: 1203 Cycletime: 1
Spiralint: 2390 Generations: 1203 Cycletime: 1
Spiralint: 2477 Generations: 1214 Cycletime: 1
Spiralint: 2574 Generations: 1284 Cycletime: 1
Spiralint: 2662 Generations: 1203 Cycletime: 1
Spiralint: 2713 Generations: 1203 Cycletime: 1
Spiralint: 2733 Generations: 1214 Cycletime: 1
Spiralint: 2835 Generations: 1146 Cycletime: 1
Spiralint: 3015 Generations: 1143 Cycletime: 1
Spiralint: 3372 Generations: 1202 Cycletime: 1
Spiralint: 3566 Generations: 1143 Cycletime: 1
Spiralint: 3594 Generations: 1284 Cycletime: 1
Spiralint: 3714 Generations: 1202 Cycletime: 1
Spiralint: 3757 Generations: 1359 Cycletime: 1
Spiralint: 3836 Generations: 1342 Cycletime: 1
Spiralint: 3964 Generations: 1342 Cycletime: 1
Spiralint: 4046 Generations: 1000 Cycletime: 1
Spiralint: 4084 Generations: 2714 Cycletime: 1
Spiralint: 4088 Generations: 2714 Cycletime: 1
Spiralint: 4262 Generations: 1203 Cycletime: 1
Spiralint: 4307 Generations: 1146 Cycletime: 1
Spiralint: 4425 Generations: 1147 Cycletime: 1
Spiralint: 4465 Generations: 1202 Cycletime: 1
